,barrio_original,barrio_sin_est,nom_match,lat,lon
0,12 DE OCTUBRE E-12,12 DE OCTUBRE ,DOCE DE OCTUBRE,,
1,20 DE JULIO,20 DE JULIO,VEINTE DE JULIO,,
2,7 DE AGOSTO E-12,7 DE AGOSTO ,CLUB DE LOS LAGARTOS,,
3,A.S.D. E-1,A.S.D.,,,
4,A.S.D. E-19,A.S.D. ,,,
5,ABRAHAM LINCON E-6,ABRAHAM LINCON,ABRAHAM LINCOLN,,
6,ABRAHAM LINCON E-8,ABRAHAM LINCON,ABRAHAM LINCOLN,,
7,ACACIA IV E-19,ACACIA IV ,ACACIAS USAQUEN,,
8,ACACIAS E-11,ACACIAS ,ACACIAS USAQUEN,,
9,ACACIAS III PARTE BAJA E-19,ACACIAS III PARTE BAJA ,ACACIAS USAQUEN,,
10,ACACIAS IV E-19,ACACIAS IV ,ACACIAS USAQUEN,,
11,ACACIAS NORTE E-1,ACACIAS NORTE,ACACIAS USAQUEN,,
12,ACACIAS SUR E-19,ACACIAS SUR ,ACACIAS USAQUEN,,
13,ACAIMA E-11,ACAIMA ,CANAIMA,,
14,ACAPULCO E-10,ACAPULCO ,ALCALA,,
15,ACAPULCO E-11,ACAPULCO ,ALCALA,,
16,ACAPULCO E-5,ACAPULCO,ALCALA,,
17,ACATAMA E-8,ACATAMA,ALCALA,,
18,ACEVEDO TEJADA E-13,ACEVEDO TEJADA ,ACEVEDO TEJADA,,
19,ACIP E-8,ACIP,LA CITA,,
20,ACUARELA E-4,ACUARELA,ALCALA,,
21,ACUARELA E-7,ACUARELA,ALCALA,,
22,AEROPUERTO,AEROPU,AEROPUERTO EL DORADO,,
23,AEROPUERTO ANGARES PRIVADOS,AEROPUERTO ANGARES PRIVADOS,AEROPUERTO EL DORADO,,
24,AEROPUERTO BODEGAS,AEROPUERTO BOD,AEROPUERTO EL DORADO,,
25,AEROPUERTO EL DORADO,AEROPUERTO EL DORADO,AEROPUERTO EL DORADO,,
26,AEROPUERTO MUELLE INTERNACIONAL,AEROPUERTO MUELLE INTERNACIONAL,AEROPUERTO EL DORADO,,
27,AEROPUERTO MUELLE NACIONAL,AEROPUERTO MUELLE NACIONAL,AEROPUERTO EL DORADO,,
28,AEROPUERTO PARQUEADEROS,AEROPUERTO PARQUEAD,AEROPUERTO EL DORADO,,
29,AEROPUERTO PUENTE AEREO,AEROPUERTO PUENTE A,AEROPUERTO EL DORADO,,
30,AFIDRO E-10,AFIDRO ,SAN ISIDRO,,
31,AGROPOLIS E-7,AGROPOLIS,METROPOLIS,,
32,AGUA BLANCA EL REMATE E-7,AGUA BLANCA EL REMATE,AGUAS CLARAS,,
33,AGUA CLARA E-1,AGUA CLARA,AGUAS CLARAS,,
34,AGUALINDA E-5,AGUALINDA,AGUAS CLARAS,,
35,AGUAS CALIENTES E-11,AGUAS CALIENTES ,AGUAS CLARAS,,
36,AGUAS CLARAS E-10,AGUAS CLARAS ,AGUAS CLARAS,,
37,AGUAS CLARAS E-4,AGUAS CLARAS,AGUAS CLARAS,,
38,AGUILA,AGUILA,LAGUNITAS,,
39,AINSUCA E-1,AINSUCA,NIZA SUBA,,
40,ALAMBRES NACIONALES E-8,ALAMBRES NACIONALES,ABRAHAM LINCOLN,,
41,ALAMEDA DE TIMIZA E-8,ALAMEDA DE TIMIZA,EL MINUTO DE MARIA,,
42,ALAMEDA DEL SUR E-18,ALAMEDA DEL SUR ,ARBOLEDA SUR,,
43,ALAMEDA E-10,ALAMEDA ,ALAMOS,,
44,ALAMEDA E-3,ALAMEDA,ALAMOS,,
45,ALAMEDA E-6,ALAMEDA,ALAMOS,,
46,ALAMEDAS DE MODELIA E-9,ALAMEDAS DE MODELIA,EL MIRADOR DE LA ESTANCIA,,
47,ALAMEDAS DE TIMIZA II E-8,ALAMEDAS DE TIMIZA II,EL MIRADOR DE LA ESTANCIA,,
48,ALAMOS I E-10,ALAMOS I ,ALAMOS,,
49,ALAMOS II E-10,ALAMOS II ,ALAMOS,,
50,ALAMOS III E-10,ALAMOS III ,ALAMOS,,
51,ALAMOS IV E-10,ALAMOS IV ,ALAMOS,,
52,ALAMOS NORTE E-10,ALAMOS NORTE ,ALAMOS,,
53,ALAMOS NORTE NOROCCIDENTAL E-10,ALAMOS NORTE NOROCCIDENTAL ,ALAMOS,,
54,ALAMOS NORTE NORORIDENTAL E-10,ALAMOS NORTE NORORIDENTAL ,ALAMOS,,
55,ALAMOS NORTE SECTOR INDUSTRIAL E-10,ALAMOS NORTE SECTOR INDUSTRIAL ,ALAMOS,,
56,ALAMOS SUR E-10,ALAMOS SUR ,ALAMOS,,
57,ALASKA E-11,ALASKA ,ALASKA,,
58,ALASKA E-5,ALASKA,ALASKA,,
59,ALBALONGA E-11,ALBALONGA ,ALCALA,,
60,ALBANIA E-3,ALBANIA,ATLANTA,,
61,ALBRICIAS E-11,ALBRICIAS ,GALICIA,,
62,ALCALA  E-11,ALCALA  ,ALCALA,,
63,ALCALA E-11,ALCALA ,ALCALA,,
64,ALCALA E-16,ALCALA ,ALCALA,,
65,ALCALÁ E-16,ALCALÁ ,ALCALA,,
66,ALCANTUZ E-5,ALCANTUZ,ALCAZARES,,
67,ALCAPARROS I-II E-11,ALCAPARROS I-II ,ALCAZARES,,
68,ALCAZABA DOCE DE OCTUBRE E-12,ALCAZABA DOCE DE OCTUBRE ,ALCAZARES NORTE,,
69,ALCAZAR DE SUBA E-11,ALCAZAR DE SUBA ,ALCAZARES,,
70,ALCAZAR DEL RIO E-1,ALCAZAR DEL RIO,ALCAZARES,,
71,ALCAZAR DEL RÍO E-1,ALCAZAR DEL RÍO,ALCAZARES,,
72,ALCAZARES DE SUBA E-11,ALCAZARES DE SUBA ,ALCAZARES,,
73,ALCAZARES E-12,ALCAZARES ,ALCAZARES,,
74,ALCAZARES NORTE E-12,ALCAZARES NORTE ,ALCAZARES NORTE,,
75,ALEJANDRIA E-10,ALEJANDRIA ,KASANDRA,,
76,ALEJANDRO PARDO E-11,ALEJANDRO PARDO ,EL DORADO,,
77,ALEJANDRÍA E-10,ALEJANDRÍA ,KASANDRA,,
78,ALEROS DE LA SABANA,ALEROS DE LA SABANA,ALQUERIA LA FRAGUA NORTE,,
79,ALFA E-19,ALFA ,ALAMOS,,
80,ALFEREZ REAL    E-8,ALFEREZ REAL   ,EL REAL,,
81,ALFEREZ REAL E-8,ALFEREZ REAL,EL REAL,,
82,ALFONSO JARAMILLO E-11,ALFONSO JARAMILLO ,ALFONSO LOPEZ,,
83,ALFONSO LOPEZ E-13,ALFONSO LOPEZ ,ALFONSO LOPEZ,,
84,ALFONSO LOPEZ E-5,ALFONSO LOPEZ,ALFONSO LOPEZ,,
85,ALFONSO LOPEZ SECTOR BUENOS AIRES E-5,ALFONSO LOPEZ SECTOR BUENOS AIRES,ALFONSO LOPEZ,,
86,ALFONSO LOPEZ SECTOR CHARALA E-5,ALFONSO LOPEZ SECTOR CHARALA,ALFONSO LOPEZ,,
87,ALFONSO LOPEZ SECTOR EL PROGRESO E-5,ALFONSO LOPEZ SECTOR EL PROGRESO,ALFONSO LOPEZ,,
88,ALFONSO LOPEZ SECTOR LA ALBORADA E-5,ALFONSO LOPEZ SECTOR LA ALBORADA,ALFONSO LOPEZ,,
89,ALFONSO LÓPEZ SECTOR BUENOS AIRES E-5,ALFONSO LÓPEZ SECTOR BUENOS AIRES,ALFONSO LOPEZ,,
90,ALFONSO LÓPEZ SECTOR CHARALA E-5,ALFONSO LÓPEZ SECTOR CHARALA,ALFONSO LOPEZ,,
91,ALFONSO LÓPEZ SECTOR EL PROGRESO E-5,ALFONSO LÓPEZ SECTOR EL PROGRESO,ALFONSO LOPEZ,,
92,ALFONSO LÓPEZ SECTOR LA ALBORADA E-5,ALFONSO LÓPEZ SECTOR LA ALBORADA,ALFONSO LOPEZ,,
93,ALHAMBRA SECTOR NORTE E-11,ALHAMBRA SECTOR NORTE ,ALCAZARES NORTE,,
94,ALM EXITO II E-1,ALM EXITO II,EL MIRADOR II,,
95,ALMA INDUSTRIAL LTDA E-12,ALMA INDUSTRIAL LTDA ,ALTAMIRA,,
96,ALMACEN 3 ELEFANTES MODELIA E-9,ALMACEN 3 ELEFANTES MODELIA,EL ENCANTO,,
97,ALMACEN ALKOSTO I E-10,ALMACEN ALKOSTO I ,ALMIRANTE COLON,,
98,ALMACEN ALKOSTO II E-16,ALMACEN ALKOSTO II ,ALMIRANTE COLON,,
99,ALMACEN CAFAM LA FLORESTA E-12,ALMACEN CAFAM LA FLORESTA ,,,
100,ALMACEN CAFAM MODELIA E-9,ALMACEN CAFAM MODELIA,,,
101,ALMACEN CARULLA MODELIA E-9,ALMACEN CARULLA MODELIA,VILLA CANDELARIA,,
102,ALMACEN COLSUBSIDIO   E-8,ALMACEN COLSUBSIDIO  ,CIUDADELA COLSUBSIDIO,,
103,ALMACEN COLSUBSIDIO DE LA 26 E-13,ALMACEN COLSUBSIDIO DE LA 26 ,SANTA CECILIA DE SUBA I,,
104,ALMACEN COLSUBSIDIO E-8,ALMACEN COLSUBSIDIO,CIUDADELA COLSUBSIDIO,,
105,ALMACEN EXITO I E-10,ALMACEN EXITO I ,ALMIRANTE COLON,,
106,ALMACEN EXITO III E-8,ALMACEN EXITO III,ALMIRANTE COLON,,
107,ALMACEN HOMECENTER I E-9,ALMACEN HOMECENTER I,EL ENCANTO,,
108,ALMACEN HOMECENTER II E-10,ALMACEN HOMECENTER II ,EL CHANCO II,,
109,ALMACEN HOMECENTER III     E-8,ALMACEN HOMECENTER III    ,EL CHANCO II,,
110,ALMACEN HOMECENTER III E-8,ALMACEN HOMECENTER III,EL CHANCO II,,
111,ALMANARA E-11,ALMANARA ,ATLANTA,,
112,ALMEIRA E-11,ALMEIRA ,ALQUERIA,,
113,ALMENA E-10,ALMENA ,ARMENIA,,
114,ALMENDROS E-11,ALMENDROS ,LOS ALMENDROS,,
115,ALMENDROS TINTALITO BOSA E-8,ALMENDROS TINTALITO BOSA,ALMIRANTE COLON,,
116,ALMERIA DE SAN LUIS E-11,ALMERIA DE SAN LUIS ,ALQUERIA LA FRAGUA II,,
117,ALMIRANTE COLON E-11,ALMIRANTE COLON ,ALMIRANTE COLON,,
118,ALMIRANTE PADILLA E-5,ALMIRANTE PADILLA,ALMIRANTE COLON,,
119,ALMONACID E-11,ALMONACID ,ALMIRANTE COLON,,
120,ALMORIA E-10,ALMORIA ,ALTAMIRA,,
121,ALMUVA E-11,ALMUVA ,ALQUERIA,,
122,ALOHA NORTE E-8,ALOHA NORTE,PABLO VI NORTE,,
123,ALOHA SUR E-8,ALOHA SUR,CALVO SUR,,
124,ALPES DEL ZUQUE E-4,ALPES DEL ZUQUE,ALTOS DEL ZUQUE,,
125,ALPES LOS E-19,ALPES LOS ,LAS LOMAS,,
126,ALQUERIA DE LAFRAGUA SECTOR PARAISO E-8,ALQUERIA DE LAFRAGUA SECTOR PARAISO,ALQUERIA LA FRAGUA II,,
127,ALQUERIAS DE LA FRAGUA DEL ISS E-8,ALQUERIAS DE LA FRAGUA DEL ISS,ALQUERIA LA FRAGUA,,
128,ALQUERIAS DE LA FRAGUA E-8,ALQUERIAS DE LA FRAGUA,ALQUERIA LA FRAGUA,,
129,ALQUERIAS DE LA FRAGUA VILLANUEVA E-8,ALQUERIAS DE LA FRAGUA VILLANUEVA,ALQUERIA LA FRAGUA,,
130,ALQUERÍA DE LA FRAGUA DEL ISS E-8,ALQUERÍA DE LA FRAGUA DEL ISS,ALQUERIA LA FRAGUA,,
131,ALQUERÍA DE LAFRAGUA SECTOR PARAÍSO E-8,ALQUERÍA DE LAFRAGUA SECTOR PARAÍSO,ALQUERIA LA FRAGUA,,
132,ALQUERÍA LA FRAGUA E-8,ALQUERÍA LA FRAGUA,ALQUERIA LA FRAGUA,,
133,ALQUERÍAS DE LA FRAGUA E-8,ALQUERÍAS DE LA FRAGUA,ALQUERIA LA FRAGUA,,
134,ALQUERÍAS DE LA FRAGUA VILLANUEVA E-8,ALQUERÍAS DE LA FRAGUA VILLANUEVA,ALQUERIA LA FRAGUA,,
135,ALSACIA E-8,ALSACIA,LA ESTANCIA,,
136,ALTA BLANCA E-1,ALTA BLANCA,ALCALA,,
137,ALTAMAR E-11,ALTAMAR ,ALTAMIRA,,
138,ALTAMAR E-19,ALTAMAR ,ALTAMIRA,,
139,ALTAMAR E-8,ALTAMAR,ALTAMIRA,,
140,ALTAMAR II SECTOR E-8,ALTAMAR II SECTOR,ALTAMIRA,,
141,ALTAMIRA CHIQUITA E-4,ALTAMIRA CHIQUITA,ALTAMIRA,,
142,ALTAMIRA E-11,ALTAMIRA ,ALTAMIRA,,
143,ALTAMIRA E-4,ALTAMIRA,ALTAMIRA,,
144,ALTAMIRA E-8,ALTAMIRA,ALTAMIRA,,
145,ALTAMIRA SANTA TERESA E-4,ALTAMIRA SANTA TERESA,ALTAMIRA,,
146,ALTILLOS DE SUBA E-11,ALTILLOS DE SUBA ,ALTOS DE SUBA,,
147,ALTO DE CARABINEROS E-11,ALTO DE CARABINEROS ,ALTOS DE CHOZICA,,
148,ALTO DE LA CRUZ E-19,ALTO DE LA CRUZ ,ALTOS DEL ZIPA,,
149,ALTO DE LA TOMA E-11,ALTO DE LA TOMA ,ALTOS DE SUBA,,
150,ALTO DE LA VIRGEN,ALTO DE LA VIRGEN,ALTOS DEL ZIPA,,
151,ALTO DE LOS PINOS E-5,ALTO DE LOS PINOS,ALTOS DEL ZIPA,,
152,ALTO DEL CABLE E-2,ALTO DEL CABLE,ALTOS DEL POBLADO,,
153,ALTOS DE BELLAVISTA E-2,ALTOS DE BELLAVISTA,ALTOS DE SUBA,,
154,ALTOS DE BETANIA III E-5,ALTOS DE BETANIA III,ALTOS DE SUBA,,
155,ALTOS DE CHOZICA E-11,ALTOS DE CHOZICA ,ALTOS DE CHOZICA,,
156,ALTOS DE JALISCO E-19,ALTOS DE JALISCO ,ALTOS DE CHOZICA,,
157,ALTOS DE LA ESPERANZA I SECTOR E-11,ALTOS DE LA ESPERANZA I SECTOR ,ALTOS DEL ZIPA,,
158,ALTOS DE LA GLORIA E-4,ALTOS DE LA GLORIA,ALTOS DEL ZIPA,,
159,ALTOS DE LA SALLE E-2,ALTOS DE LA SALLE,ALTOS DE SUBA,,
160,ALTOS DE SAN ISIDRO E-11,ALTOS DE SAN ISIDRO ,ALTOS DE SUBA,,
161,ALTOS DE SAN JORGE E-11,ALTOS DE SAN JORGE ,ALTOS DE SUBA,,
162,ALTOS DE SAN MATEO,ALTOS DE SAN MATEO,ALTOS DE SUBA,,
163,ALTOS DEL COUNTRY (EL PITE) E-1,ALTOS DEL COUNTRY (EL PITE),ALTOS DEL ZUQUE,,
164,ALTOS DEL COUNTRY CLUB E-1,ALTOS DEL COUNTRY CLUB,ALTOS DE SUBA,,
165,ALTOS DEL PINO E-5,ALTOS DEL PINO,ALTOS DEL ZIPA,,
166,ALTOS DEL POBLADO E-4,ALTOS DEL POBLADO,ALTOS DEL POBLADO,,
167,ALTOS DEL REDIL E-1,ALTOS DEL REDIL,ALTOS DEL ZIPA,,
168,ALTOS DEL RINCON E-11,ALTOS DEL RINCON ,ALTOS DEL ZIPA,,
169,ALTOS DEL RINCÓN E-11,ALTOS DEL RINCÓN ,ALTOS DEL ZIPA,,
170,ALTOS DEL ROCIO E-19,ALTOS DEL ROCIO ,ALTOS DEL ZIPA,,
171,ALTOS DEL SOL E-3,ALTOS DEL SOL,ALTOS DEL POBLADO,,
172,ALTOS DEL SOL E-4,ALTOS DEL SOL,ALTOS DEL POBLADO,,
173,ALTOS DEL VIRREY E-4,ALTOS DEL VIRREY,ALTOS DEL ZIPA,,
174,ALTOS DEL ZUQUE E-4,ALTOS DEL ZUQUE,ALTOS DEL ZUQUE,,
175,ALVARO BERNAL SEGURA E-19,ALVARO BERNAL SEGURA ,ALCAZARES NORTE,,
176,AMALFI E-9,AMALFI,ALTAMIRA,,
177,AMAPARO CAÑIZARES E-8,AMAPARO CAÑIZARES,PARAMO I,,
178,AMAPOLA E-4,AMAPOLA,ALCALA,,
179,AMARUC E-7,AMARUC,LA MARICHUELA,,
180,AMBALEMA LOTES 2 Y 3 E-9,AMBALEMA LOTES 2 Y 3,ALAMOS,,
181,AMBERES E-11,AMBERES ,LA MERCED,,
182,AMERICA E-2,AMERICA,ARMENIA,,
183,AMERICAS OCCIDENTAL I ETAPA E-8,AMERICAS OCCIDENTAL I ETAPA,VENECIA OCCIDENTAL,,
184,AMERICAS OCCIDENTAL II ETAPA E-8,AMERICAS OCCIDENTAL II ETAPA,SALITRE OCCIDENTAL,,
185,AMERICAS OCCIDENTAL III ETAPA E-8,AMERICAS OCCIDENTAL III ETAPA,SALITRE OCCIDENTAL,,
186,AMERICAS OCCIDENTAL IV ETAPA E-8,AMERICAS OCCIDENTAL IV ETAPA,SALITRE OCCIDENTAL,,
187,AMERICAS RESERVADO E-8,AMERICAS RESERVADO,SIERRA MORENA,,
188,ANA MARIA CAICEDO DE LLOREDA E-7,ANA MARIA CAICEDO DE LLOREDA,SANTA MARIA,,
189,ANDALUCIA,ANDALUCIA,ANDALUCIA II,,
190,ANDALUCIA E-1,ANDALUCIA,ANDALUCIA II,,
191,ANDALUCIA E-10,ANDALUCIA ,ANDALUCIA II,,
192,ANDALUCIA E-11,ANDALUCIA ,ANDALUCIA II,,
193,ANDALUCIA E-16,ANDALUCIA ,ANDALUCIA II,,
194,ANDALUCIA E-7,ANDALUCIA,ANDALUCIA II,,
195,ANDALUCIA E-8,ANDALUCIA,ANDALUCIA II,,
196,ANDALUCIA II SECTOR E-7,ANDALUCIA II SECTOR,ANDALUCIA II,,
197,ANDALUCIA II SECTOR E-8,ANDALUCIA II SECTOR,ANDALUCIA II,,
198,ANDALUCÍA E-1,ANDALUCÍA,ANDALUCIA II,,
199,ANDALUCÍA E-10,ANDALUCÍA ,ANDALUCIA II,,
200,ANDALUCÍA E-11,ANDALUCÍA ,ANDALUCIA II,,
201,ANDALUCÍA E-16,ANDALUCÍA ,ANDALUCIA II,,
202,ANDALUCÍA E-7,ANDALUCÍA,ANDALUCIA II,,
203,ANDALUCÍA E-8,ANDALUCÍA,ANDALUCIA II,,
204,ANDALUCÍA II SECTOR E-7,ANDALUCÍA II SECTOR,ANDALUCIA II,,
205,ANDALUCÍA II SECTOR E-8,ANDALUCÍA II SECTOR,ANDALUCIA II,,
206,ANDES E-11,ANDES ,ANDES NORTE,,
207,ANDES II Y III SECTOR E-12,ANDES II Y III SECTOR ,VILLA NELLY III SECTOR,,
208,ANDREA E-5,ANDREA,LA ANDREA,,
209,ANGEL FACE-CHESELINE E-19,ANGEL FACE-CHESELINE ,,,
210,ANGULO E-4,ANGULO,ANTIGUO COUNTRY,,
211,ANGÉLICA E-9,ANGÉLICA,GALICIA,,
212,ANTENA BÁSICA HORIZONTE (RCN) E-8,ANTENA BÁSICA HORIZONTE (RCN),TECHO,,
213,ANTIGUA HELVETIA E-11,ANTIGUA HELVETIA ,SANTA HELENITA,,
214,ANTIGUA UNIFAMILIAR E-1,ANTIGUA UNIFAMILIAR,ANTIGUO COUNTRY,,
215,ANTIGUO COUNTRY CLUB E-2,ANTIGUO COUNTRY CLUB,ANTIGUO COUNTRY,,
216,ANTIGUO COUNTRY E-2,ANTIGUO COUNTRY,ANTIGUO COUNTRY,,
217,ANTIGUO HIPODROMO DE TECHO E-8,ANTIGUO HIPODROMO DE TECHO,SANTIAGO PEREZ,,
218,ANTIOQUIA E-4,ANTIOQUIA,TIBAQUE I,,
219,ANTONETTE E-11,ANTONETTE ,ANTONIO JOSE DE SUCRE,,
220,ANTONIA SANTOS E-14,ANTONIA SANTOS ,ANTONIA SANTOS,,
221,ANTONIA SANTOS E-7,ANTONIA SANTOS,ANTONIA SANTOS,,
222,ANTONIO CAICEDO E-14,ANTONIO CAICEDO ,ANTONIO JOSE DE SUCRE,,
223,ANTONIO GRANADO SUBA E-11,ANTONIO GRANADO SUBA ,ANTONIA SANTOS,,
224,ANTONIO GRANADOS E-11,ANTONIO GRANADOS ,ANTONIA SANTOS,,
225,ANTONIO JOSE DE SUCRE E-5,ANTONIO JOSE DE SUCRE,ANTONIO JOSE DE SUCRE,,
226,ANTONIO JOSE DE SUCRE I Y II SECTOR E-5,ANTONIO JOSE DE SUCRE I Y II SECTOR,ANTONIO JOSE DE SUCRE,,
227,ANTONIO JOSE DE SUCRE III SECTOR E-5,ANTONIO JOSE DE SUCRE III SECTOR,ANTONIO JOSE DE SUCRE,,
228,ANTONIO JOSÉ DE SUCRE E-8,ANTONIO JOSÉ DE SUCRE,ANTONIO JOSE DE SUCRE,,
229,ANTONIO JOSÉ DE SUCRE I Y II SECTOR E-5,ANTONIO JOSÉ DE SUCRE I Y II SECTOR,ANTONIO JOSE DE SUCRE,,
230,ANTONIO JOSÉ DE SUCRE III SECTOR E-5,ANTONIO JOSÉ DE SUCRE III SECTOR,ANTONIO JOSE DE SUCRE,,
231,ANTONIO MORALES GALVIS E-18,ANTONIO MORALES GALVIS ,ANTONIA SANTOS,,
232,ANTONIO MORALES II SECTOR E-18,ANTONIO MORALES II SECTOR ,ANTONIO JOSE DE SUCRE,,
233,APOLO E-9,APOLO,CAPITOLIO,,
234,APOLO LOTE NO. 5 - PREDIO E-9,APOLO LOTE NO. 5 - PREDIO,,,
235,AQUITANIA E-10,AQUITANIA ,LUSITANIA,,
236,ARABIA E-19,ARABIA ,ARABIA,,
237,ARABIA E-4,ARABIA,ARABIA,,
238,ARABIA E-9,ARABIA,ARABIA,,
239,ARAGÓN URB. E-11,ARAGÓN URB. ,GRANADA SUR,,
240,ARANDA NORTE E-16,ARANDA NORTE ,GRANADA NORTE,,
241,ARAUQUITA E-1,ARAUQUITA,ARABIA,,
242,ARBOLEDA DE LOS ALPES E-4,ARBOLEDA DE LOS ALPES,ARBOLEDA SUR,,
243,ARBOLEDA DE SUBA E-11,ARBOLEDA DE SUBA ,ARBOLEDA SUR,,
244,ARBOLEDA DEL REY E-16,ARBOLEDA DEL REY ,ARBOLEDA SUR,,
245,ARBOLEDA E-16,ARBOLEDA ,ARBOLEDA SUR,,
246,ARBOLEDA E-7,ARBOLEDA,ARBOLEDA SUR,,
247,ARBOLEDA LA CAMPIÑA E-11,ARBOLEDA LA CAMPIÑA ,ARBOLEDA SANTA TERESITA,,
248,ARBOLEDA SUR E-18,ARBOLEDA SUR ,ARBOLEDA SUR,,
249,ARBOLEDAD DEL COUNTRY E-1,ARBOLEDAD DEL COUNTRY,ARBOLEDA SUR,,
250,ARBOLETE E-8,ARBOLETE,ARBOLEDA SANTA TERESITA,,
251,ARBORIZADORA ALTA E-19,ARBORIZADORA ALTA ,ARBORIZADORA ALTA,,
252,ARBORIZADORA BAJA E-19,ARBORIZADORA BAJA ,ARBORIZADORA BAJA,,
253,ARCOS DE BRITALIA E-11,ARCOS DE BRITALIA ,GRAN BRITALIA,,
254,ARENERA BUENA VISTA E-1,ARENERA BUENA VISTA,ARRAYANES VI,,
255,ARGELIA E-7,ARGELIA,ARGELIA II,,
256,ARGELIA E-8,ARGELIA,ARGELIA II,,
257,ARGELIA II E-7,ARGELIA II,ARGELIA II,,
258,ARGENTINA E-19,ARGENTINA ,ARMENIA,,
259,ARIZONA E-5,ARIZONA,TAIRONA,,
260,ARMENIA E-13,ARMENIA ,ARMENIA,,
261,ARMERO SUR E-5,ARMERO SUR,PALERMO SUR,,
262,ARRAYANES E-11,ARRAYANES ,ARRAYANES I,,
263,ARRAYANES E-4,ARRAYANES,ARRAYANES I,,
264,ARRAYANES IV E-18,ARRAYANES IV ,ARRAYANES I,,
265,ARRAYANES SUBA E-11,ARRAYANES SUBA ,ARRAYANES I,,
266,ARZOBISPO E-2,ARZOBISPO,ARABIA,,
267,ASOCIACION DISTRITAL DE EDUCADORES E-4,ASOCIACION DISTRITAL DE EDUCADORES,CHICO NORTE III SECTOR,,
268,ASOCIACIÓN DISTRITAL DE EDUCADORES E-4,ASOCIACIÓN DISTRITAL DE EDUCADORES,LAS DELICIAS DEL CARMEN II SECTOR,,
269,ASOVIVIR E-7,ASOVIVIR,,,
270,ASTURIAS E-8,ASTURIAS,LAS FERIAS,,
271,ATABANZA E-11,ATABANZA ,ATAHUALPA,,
272,ATAHUALPA E-9,ATAHUALPA,ATAHUALPA,,
273,ATAHUALPA II SECTOR E-9,ATAHUALPA II SECTOR,ATAHUALPA,,
274,ATANASIO GIRARDOT E-3,ATANASIO GIRARDOT,ARBORIZADORA ALTA I,,
275,ATARDECERES DE SUBA E-11,ATARDECERES DE SUBA ,ALTOS DE SUBA,,
276,ATENAS CIUDAD PRIVADA E-11,ATENAS CIUDAD PRIVADA ,ATENAS,,
277,ATENAS E-11,ATENAS ,ATENAS,,
278,ATENAS E-4,ATENAS,ATENAS,,
279,ATENAS I E-4,ATENAS I,ATENAS,,
280,ATICOS DE MONTERREY II E-11,ATICOS DE MONTERREY II ,CERROS DE ORIENTE,,
281,ATICOS DEL NORTE E-11,ATICOS DEL NORTE ,LA SOLEDAD NORTE,,
282,ATICOS DEL SALITRE E-9,ATICOS DEL SALITRE,ISLA DEL SOL,,
283,ATLANTA E-19,ATLANTA ,ATLANTA,,
284,ATLANTA INDUSTRIAL E-19,ATLANTA INDUSTRIAL ,ATLANTA,,
285,AURES I E-11,AURES I ,AURES II,,
286,AURES I-II E-11,AURES I-II ,AURES II,,
287,AURES II E-11,AURES II ,AURES II,,
288,AURES II SECTOR LA PLATA E-11,AURES II SECTOR LA PLATA ,AURES II,,
289,AUTOPISTA DEL SUR E-16,AUTOPISTA DEL SUR ,AUTOPISTA SUR,,
290,AUTOPISTA DEL SUR II SECTOR E-16,AUTOPISTA DEL SUR II SECTOR ,AUTOPISTA SUR,,
291,AUTOPISTA MEDELLIN E-10,AUTOPISTA MEDELLIN ,AUTOPISTA MEDELLIN,,
292,AUTOPISTA NORTE I SECTOR E-1,AUTOPISTA NORTE I SECTOR,AUTOPISTA SUR,,
293,AUTOPISTA NORTE II SECTOR E-1,AUTOPISTA NORTE II SECTOR,AUTOPISTA SUR,,
294,AUTOPISTA SUR E-15,AUTOPISTA SUR ,AUTOPISTA SUR,,
295,AV 68 E-10,AV 68 ,,,
296,AVENIDA BARRANQUILLA E-8,AVENIDA BARRANQUILLA,AREA ARTILLERIA,,
297,AVENIDA CARACAS E-18,AVENIDA CARACAS ,AGUAS CLARAS,,
298,AVENIDA CARACAS II SECTOR E-18,AVENIDA CARACAS II SECTOR ,CHICO NORTE II SECTOR,,
299,AVENIDA CENTENARIO E-9,AVENIDA CENTENARIO,CENTENARIO,,
300,AVENIDA CUNDINAMARCA E-16,AVENIDA CUNDINAMARCA ,CUNDINAMARCA,,
301,AVENIDA CUNDINAMARCA E-8,AVENIDA CUNDINAMARCA,CUNDINAMARCA,,
302,AVENIDA DEL CENTENARIO E-9,AVENIDA DEL CENTENARIO,ESCUELA DE INFANTERIA,,
303,AVENIDA DEL TABORA E-11,AVENIDA DEL TABORA ,ENGATIVA EL DORADO,,
304,AVENTURA PLAZA E-8,AVENTURA PLAZA,ATAHUALPA,,
305,AVILA HERMANOS E-16,AVILA HERMANOS ,VILLA HERMOSA,,
306,AVIOMAR PARCELACION LA SELVA E-9,AVIOMAR PARCELACION LA SELVA,JOSE MARIA CARBONEL,,
307,AVIRAMA E-9,AVIRAMA,ARABIA,,
308,AVORIAZ E-1,AVORIAZ,ARABIA,,
309,AYACUCHO E-4,AYACUCHO,QUINTA CAMACHO,,
310,AYACUCHO SUR E-4,AYACUCHO SUR,CHICO SUR,,
311,AYAMOTI E-1,AYAMOTI,PARAMO I,,
312,AZAFRANES E-10,AZAFRANES ,ARRAYANES I,,
