,barrio_original,barrio_sin_est,nom_match,lat,lon
1862,GRANADA SUR II SECTOR E-4,GRANADA SUR II SECTOR,GRANADA SUR,,
1863,GRANADA SUR III SECTOR E-4,GRANADA SUR III SECTOR,GRANADA SUR,,
1864,GRANCOLOMBIANO I SECTOR E-7,GRANCOLOMBIANO I SECTOR,GRAN COLOMBIANO,,
1865,GRANCOLOMBIANO II SECTOR E-7,GRANCOLOMBIANO II SECTOR,GRAN COLOMBIANO,,
1866,GRANITOS Y MARMOLES E-16,GRANITOS Y MARMOLES ,GRAN YOMASA,,
1867,GRANITOS Y MÁRMOLES E-16,GRANITOS Y MÁRMOLES ,,,
1868,GRANJA DE LA HACIENDA DEL CONTADOR E-1,GRANJA DE LA HACIENDA DEL CONTADOR,GRANJAS DE TECHO,,
1869,GRANJA EL RINCONCITO E-7,GRANJA EL RINCONCITO,GRANJAS DE TECHO,,
1870,GRANJA LAS MERCEDES E-11,GRANJA LAS MERCEDES ,GRANJAS DE TECHO,,
1871,GRANJAS DE NAMUR E-11,GRANJAS DE NAMUR ,GRANADA SUR,,
1872,GRANJAS DE SAN PABLO E-18,GRANJAS DE SAN PABLO ,GRANJAS SAN PABLO,,
1873,GRANJAS DE TECHO E-9,GRANJAS DE TECHO,GRANJAS DE TECHO,,
1874,GRANJAS EL DORADO E-10,GRANJAS EL DORADO ,GRANJAS DE TECHO,,
1875,GRATAMIRA E-11,GRATAMIRA ,ALTAMIRA,,
1876,GRATAMIRA E-2,GRATAMIRA,ALTAMIRA,,
1877,GUACAMAYAS E-4,GUACAMAYAS,GUAYMARAL,,
1878,GUACAMAYAS I-II E-4,GUACAMAYAS I-II,GUAYMARAL,,
1879,GUACAMAYAS III E-4,GUACAMAYAS III,LAS GUACAMAYAS III,,
1880,GUACAMAYAS III SECTOR E-4,GUACAMAYAS III SECTOR,LAS GUACAMAYAS III,,
1881,GUADALUPE,GUADALUPE,GUADALUPE,,
1882,GUADALUPE E-19,GUADALUPE ,GUADALUPE,,
1883,GUADALUPE E-8,GUADALUPE,GUADALUPE,,
1884,GUADUAL E-9,GUADUAL,GUADALUPE,,
