date,municipality,nighborhood,zone,age,sex,schooling
2019-07-01 03:00:00,FUSAGASUGÁ,COOVIPRO,URBANA,18.0,FEMENINO,SECUNDARIA
2019-07-01 00:18:00,FUSAGASUGÁ,TIERRA GRATA,URBANA,26.0,MASCULINO,TECNICO
2019-07-01 01:27:00,FUSAGASUGÁ,COOVIPRO,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-01 01:27:00,FUSAGASUGÁ,COOVIPRO,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-01 02:00:00,GIRARDOT,ALTO DE LA CRUZ,URBANA,41.0,MASCULINO,NO REPORTADO
2019-07-01 00:30:00,GIRARDOT,CENTRO,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-01 00:36:00,PASCA,CENTRO,URBANA,26.0,MASCULINO,SECUNDARIA
2019-07-01 01:00:00,SASAIMA,SAN CARLOS,URBANA,28.0,MASCULINO,SECUNDARIA
2019-07-01 08:00:00,SILVANIA,CENTRO,URBANA,28.0,MASCULINO,SECUNDARIA
2019-07-01 19:30:00,SOACHA,JUAN PABLO I,URBANA,33.0,FEMENINO,SECUNDARIA
2019-07-01 02:00:00,TOCANCIPÁ,VER.ÑA ESMERALDA,URBANA,22.0,MASCULINO,TECNICO
2019-07-01 01:30:00,TOCANCIPÁ,VER.ÑA ESMERALDA,URBANA,23.0,MASCULINO,SECUNDARIA
2019-07-01 17:40:00,UNE,VILLA NATALIA,URBANA,11.0,FEMENINO,NO REPORTADO
2019-07-01 17:40:00,UNE,VILLA NATALIA,URBANA,46.0,FEMENINO,SUPERIOR
2019-07-01 00:00:00,ZIPAQUIRÁ,LA CONCEPCION,URBANA,17.0,FEMENINO,SECUNDARIA
2019-07-01 00:00:00,ZIPAQUIRÁ,LA CONCEPCION,URBANA,42.0,FEMENINO,SECUNDARIA
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,FEMENINO,NO REPORTADO
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,FEMENINO,NO REPORTADO
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,35.0,FEMENINO,PRIMARIA
2019-07-02 20:00:00,BOGOTÁ D.C.,EL RINCON E-11,URBANA,23.0,FEMENINO,TECNICO
