id,localidad,count,prop,delito
81,BARRIOS UNIDOS,278.0,0.020407399800911056,DOMESTIC VIOLENCE
82,BOSA,845.2,0.05070767670575556,DOMESTIC VIOLENCE
83,CANDELARIA,60.0,0.004087061973815682,DOMESTIC VIOLENCE
84,CHAPINERO,328.3,0.024779479667616528,DOMESTIC VIOLENCE
85,CIUDAD BOLIVAR,1542.0,0.18076764375718327,DOMESTIC VIOLENCE
86,ENGATIVA,802.5,0.05185919420578894,DOMESTIC VIOLENCE
87,FONTIBON,315.5,0.01945054170492118,DOMESTIC VIOLENCE
88,KENNEDY,1059.3,0.0726857900050136,DOMESTIC VIOLENCE
89,LOS MARTIRES,212.2,0.013861983111250873,DOMESTIC VIOLENCE
90,PUENTE ARANDA,301.3,0.023451282532964378,DOMESTIC VIOLENCE
91,RAFAEL URIBE URIBE,412.3,0.028480872363947994,DOMESTIC VIOLENCE
92,SAN CRISTOBAL,715.5,0.05108347116060565,DOMESTIC VIOLENCE
93,SANTA FE,262.3,0.016693629004395825,DOMESTIC VIOLENCE
94,SUBA,988.3,0.07632052443044027,DOMESTIC VIOLENCE
95,SUMAPAZ,140.2,0.012303038780282698,DOMESTIC VIOLENCE
96,TEUSAQUILLO,289.8,0.0215767931307674,DOMESTIC VIOLENCE
97,TUNJUELITO,326.5,0.02156602172984554,DOMESTIC VIOLENCE
98,USAQUEN,8045.7,0.2500991662220628,DOMESTIC VIOLENCE
99,USME,727.2,0.04843522319042963,DOMESTIC VIOLENCE
100,ANTONIO NARIÑO,29.0,0.011568211182018267,SEXUAL CRIMES
101,BARRIOS UNIDOS,67.0,0.027573698516553058,SEXUAL CRIMES
102,BOSA,155.4,0.056843546485404496,SEXUAL CRIMES
103,CANDELARIA,20.8,0.006391388518056644,SEXUAL CRIMES
104,CHAPINERO,76.4,0.030236657473771966,SEXUAL CRIMES
105,CIUDAD BOLIVAR,233.7,0.11024716681061034,SEXUAL CRIMES
106,ENGATIVA,155.3,0.06139231705557474,SEXUAL CRIMES
107,FONTIBON,61.0,0.02534582708362877,SEXUAL CRIMES
108,KENNEDY,189.9,0.07573253902975091,SEXUAL CRIMES
109,LOS MARTIRES,44.7,0.017855902588479623,SEXUAL CRIMES
110,PUENTE ARANDA,64.5,0.02409661692807801,SEXUAL CRIMES
111,RAFAEL URIBE URIBE,85.4,0.03418559098967545,SEXUAL CRIMES
112,SAN CRISTOBAL,141.2,0.0590277376964796,SEXUAL CRIMES
113,SANTA FE,50.1,0.019817940044225206,SEXUAL CRIMES
114,SUBA,198.1,0.0759286095724856,SEXUAL CRIMES
