,bar_orig,loc_match
151,LA LOMITA,SUBA
152,SAN ANTONIO,ANTONIO NARIÑO
153,SERRANIAS,USME
154,LA RESURRECCION,RAFAEL URIBE URIBE
155,ARGELIA II,BOSA
156,TIHUAQUE RURAL,USME
157,LUCERO ALTO,CIUDAD BOLIVAR
158,MEISSEN,CIUDAD BOLIVAR
159,BRISAS DEL VOLADOR,CIUDAD BOLIVAR
160,BELLO HORIZONTE,SAN CRISTOBAL
161,SIERRA MORENA II,CIUDAD BOLIVAR
162,QUINTAS DEL SUR,CIUDAD BOLIVAR
163,LUSITANIA,KENNEDY
164,PATIO BONITO,KENNEDY
165,LA FAVORITA,LOS MARTIRES
166,VILLA ELISA,SUBA
167,TUNA ALTA,SUBA
168,FLORENCIA,ENGATIVA
169,CANODROMO,SUBA
170,VILLA DEL MAR,ENGATIVA
171,LA ESTRELLITA,USAQUEN
172,CIUDAD BACHUE II,ENGATIVA
173,CIUDAD DE CALI,KENNEDY
174,GRAN YOMASA,USME
175,COMPARTIR,CIUDAD BOLIVAR
176,SANTA MATILDE,PUENTE ARANDA
177,LOS ANDES,BARRIOS UNIDOS
178,VILLA DE LOS ALPES I,SAN CRISTOBAL
179,LA MARIA,SAN CRISTOBAL
180,LA REQUILINA RURAL II,USME
181,COLSEGUROS,LOS MARTIRES
182,QUIROGA,RAFAEL URIBE URIBE
183,MARRUECOS,RAFAEL URIBE URIBE
184,EL CARMEN FONTIBON,FONTIBON
185,VILLA GLADYS,ENGATIVA
186,CENTRO ADMINISTRATIVO,CANDELARIA
187,LAS NAVETAS,FONTIBON
188,VELODROMO,SAN CRISTOBAL
189,BARCELONA,PUENTE ARANDA
190,BOSA NOVA EL PORVENIR,BOSA
191,CIUDAD TECHO II,KENNEDY
192,SAN CRISTOBAL SUR,SAN CRISTOBAL
193,BELLAVISTA LUCERO ALTO,CIUDAD BOLIVAR
194,CHICO NORTE II SECTOR,CHAPINERO
195,LA GAITANA,SUBA
196,EL NUEVO PORTAL II RURAL,USME
197,LA PEÑA RURAL,SANTA FE
198,ESTRELLA DEL SUR,CIUDAD BOLIVAR
199,GUAYMARAL,SUBA
200,HIPOTECHO OCCIDENTAL,KENNEDY
201,TINTALA,KENNEDY
202,OSORIO X,BOSA
203,MARCO FIDEL SUAREZ,TUNJUELITO
204,LA AURORA,USME
205,NUEVO SAN ANDRES,USME
206,HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE
207,EL CHIRCAL SUR,CIUDAD BOLIVAR
208,LOS ALPES SUR,CIUDAD BOLIVAR
209,GIBRALTAR SUR,CIUDAD BOLIVAR
210,CATALUNA,CHAPINERO
211,FLORIDA,LOS MARTIRES
212,SAN GABRIEL,PUENTE ARANDA
213,PARQUE NACIONAL,SANTA FE
214,INDUSTRIAL CENTENARIO,PUENTE ARANDA
215,VILLA ALSACIA,KENNEDY
216,EL ROCIO NORTE,USAQUEN
217,TUNAL BAJO,SUMAPAZ
218,GALAN RURAL,KENNEDY
219,PEPINITOS,USME
220,PRADO VERANIEGO NORTE,SUBA
221,BELLAVISTA OCCIDENTAL,ENGATIVA
222,EL CHARCO,FONTIBON
223,SOCIEGO,SAN CRISTOBAL
224,ARBORIZADORA ALTA,CIUDAD BOLIVAR
225,LAS GAVIOTAS,SAN CRISTOBAL
226,VILLA MARIA I,SUBA
227,BOCHICA II,ENGATIVA
228,SAN RAFAEL USME,SAN CRISTOBAL
229,LA CAROLINA DE SUBA,SUBA
230,BOLIVIA ORIENTAL,ENGATIVA
231,EL PINO,SUBA
232,LA FISCALA,USME
233,LA MACARENA,SANTA FE
234,SANTA INES,SANTA FE
235,COMUNEROS,PUENTE ARANDA
236,LOS EJIDOS,PUENTE ARANDA
237,EL MOCHUELO III URBANO,CIUDAD BOLIVAR
238,ARBOLEDA SUR,TUNJUELITO
239,LAS MARGARITAS,KENNEDY
240,LOS ALMENDROS,KENNEDY
241,DINDALITO,KENNEDY
242,LAS ACACIAS,KENNEDY
243,CALANDAIMA,KENNEDY
244,DINDALITO,KENNEDY
245,LAS VIOLETAS,USME
246,MOLINOS DEL SUR,TUNJUELITO
247,QUIBA,CIUDAD BOLIVAR
248,LA ASUNCION,PUENTE ARANDA
249,LOURDES,SANTA FE
250,LA CALLEJA,USAQUEN
251,JUAN PABLO II,CIUDAD BOLIVAR
252,TIBANA,PUENTE ARANDA
253,COUNTRY CLUB,USAQUEN
254,CENTRO ENGATIVA II,ENGATIVA
255,RIONEGRO,BARRIOS UNIDOS
256,VALLADOLID,KENNEDY
257,BELLA FLOR,CIUDAD BOLIVAR
258,BELEN FONTIBON,FONTIBON
259,NARINO SUR,SAN CRISTOBAL
260,EL MINUTO DE MARIA,CIUDAD BOLIVAR
261,QUIBA RURAL,CIUDAD BOLIVAR
262,SAN VICTORINO,LOS MARTIRES
263,QUINTA RAMOS,SAN CRISTOBAL
264,LA GIRALDA,FONTIBON
265,YOMASA NORTE,USME
266,NIZA SUBA,SUBA
267,AUTOPISTA MUZU,PUENTE ARANDA
268,JORGE ELIECER GAITAN,BARRIOS UNIDOS
269,ESCUELA DE CABALLERIA II,USAQUEN
270,SAN FELIPE DE USME,USME
271,PRADO VERANIEGO,USAQUEN
272,SANTO DOMINGO,CIUDAD BOLIVAR
273,SANTA BARBARA,CANDELARIA
274,LA ESTANZUELA,LOS MARTIRES
275,VITELMA,SAN CRISTOBAL
276,SAN MARTIN,BOSA
277,MOLINOS DE ORIENTE,SAN CRISTOBAL
278,LA CAPUCHINA,SANTA FE
279,VILLABEL,SAN CRISTOBAL
280,CHARALA,USME
281,LA MAGDALENA,TEUSAQUILLO
282,OLARTE,BOSA
283,LA UNION URBANO,SUMAPAZ
284,SANTA INES SUR,SAN CRISTOBAL
285,VERACRUZ,SANTA FE
286,ARBOLEDA SANTA TERESITA,SAN CRISTOBAL
287,EL MIRADOR,CIUDAD BOLIVAR
288,LA CONCORDIA,CANDELARIA
289,CHUCUA DE LA VACA III,KENNEDY
290,EL JAZMIN,KENNEDY
291,CHICALA,BOSA
292,EL JAZMIN,KENNEDY
293,LA CABANA,BOSA
294,LA LIBERTAD,BOSA
295,DINTALITO,KENNEDY
296,LAS SOPAS,SUMAPAZ
297,TINTALITO,KENNEDY
298,ARBORIZADORA ALTA,CIUDAD BOLIVAR
299,TUNDAMA,BOSA
300,CUNDINAMARCA,PUENTE ARANDA
301,EL RINCON,SUBA
302,SAN CARLOS DE SUBA,SUBA
303,SEMINARIO,CHAPINERO
304,SAN AGUSTIN,RAFAEL URIBE URIBE
305,GRAN AMERICA,TEUSAQUILLO
306,CENTRO FONTIBON,FONTIBON
307,SAN JOAQUIN,ENGATIVA
308,BRISAS DEL LLANO,USME
309,GRAN COLOMBIANO,BOSA
310,LA PICOTA,TUNJUELITO
311,BAVARIA,KENNEDY
312,CHARLES DE GAULLE,BOSA
313,SABANA GRANDE,FONTIBON
314,SAN JUAN BAUTISTA,USME
315,SAN JOSE DE BAVARIA,SUBA
316,CHARCO RURAL,FONTIBON
317,INGLES,RAFAEL URIBE URIBE
318,CLARET,TUNJUELITO
319,FATIMA,TUNJUELITO
320,POLICARPA,ANTONIO NARIÑO
321,BELLAVISTA,CIUDAD BOLIVAR
322,BELALCAZAR,TEUSAQUILLO
323,EL PARAISO,KENNEDY
324,PROVIVIENDA OCCIDENTAL,KENNEDY
325,BRASILIA,BOSA
326,EL RECUERDO,TEUSAQUILLO
327,LA SOLEDAD,TEUSAQUILLO
328,ARBORIZADORA ALTA I,CIUDAD BOLIVAR
329,VICTORIA NORTE,SUBA
330,CHAPINERO CENTRAL,CHAPINERO
331,EL SALITRE,TEUSAQUILLO
332,LA ALAMEDA,CIUDAD BOLIVAR
333,CAMPANELLA,SUBA
334,MARSELLA,KENNEDY
335,AREA ARTILLERIA,TUNJUELITO
336,SAN JOSE V SECTOR,SUBA
337,IRAGUA,SUBA
338,SIBERIA  II,CHAPINERO
339,SANTA RITA SUR ORIENTAL,SAN CRISTOBAL
340,CAMPO HERMOSO,KENNEDY
341,SOSIEGO SUR,RAFAEL URIBE URIBE
342,VILLA MAYOR,RAFAEL URIBE URIBE
343,EL PLAYON,TUNJUELITO
344,GUADUAL FONTIBON,FONTIBON
345,MEXICO,CIUDAD BOLIVAR
346,CANADA O GUIRA,SAN CRISTOBAL
347,LOS MOLINOS,RAFAEL URIBE URIBE
348,CANDELARIA LA NUEVA,CIUDAD BOLIVAR
349,BATAN,SUBA
350,LA GAITANA ORIENTAL,SUBA
351,EL CONTADOR,USAQUEN
352,GUSTAVO RESTREPO,RAFAEL URIBE URIBE
353,EL REMANSO I,BOSA
354,CENTRO ADMINISTRATIVO OCC.,TEUSAQUILLO
355,CHAPINERO OCCIDENTAL,TEUSAQUILLO
356,PASO ANCHO,BOSA
357,LUIS CARLOS GALAN,ENGATIVA
358,EMAUS,CHAPINERO
359,GRAN GRANADA,ENGATIVA
360,LA CASTELLANA,BARRIOS UNIDOS
361,LAS DELICIAS,KENNEDY
362,ABRAHAM LINCOLN,TUNJUELITO
363,VILLA CARMENZA,FONTIBON
364,EL LAUREL,ENGATIVA
365,OSORIO XXIII,BOSA
366,VILLA EMMA,BOSA
367,EL ENCANTO,ENGATIVA
368,SIMON BOLIVAR,BARRIOS UNIDOS
369,LA CAROLINA,USAQUEN
370,NACIONES UNIDAS,CIUDAD BOLIVAR
371,CAOBOS SALAZAR,USAQUEN
372,CEDRITOS,USAQUEN
373,PENSILVANIA,PUENTE ARANDA
374,SAGRADO CORAZON,SANTA FE
375,EL BOSQUE SUR ORIENTAL RURAL III,USME
376,EL REFUGIO II,CHAPINERO
