date,municipality,nighborhood,zone,age,sex,schooling
2019-07-05 12:30:00,BOGOTÁ D.C.,BELLO HORIZONTE E-4,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-05 17:45:00,BOGOTÁ D.C.,GALAN E-16,URBANA,32.0,FEMENINO,SUPERIOR
2019-07-05 01:30:00,GUACHETÁ,EL CENTRO,URBANA,31.0,MASCULINO,NO REPORTADO
2019-07-05 00:30:00,SOACHA,COMPARTIR,URBANA,21.0,MASCULINO,SECUNDARIA
2019-07-06 21:30:00,BOGOTÁ D.C.,PROVIVIENDA ORIENTAL E-8,URBANA,66.0,MASCULINO,SECUNDARIA
2019-07-06 18:00:00,BOGOTÁ D.C.,MIRANDELA E-11,URBANA,45.0,MASCULINO,SUPERIOR
2019-07-06 22:15:00,BOGOTÁ D.C.,TIBABUYES E-11,URBANA,46.0,MASCULINO,SECUNDARIA
2019-07-06 21:45:00,BOGOTÁ D.C.,URB. NUEVA ZELANDIA E-11,URBANA,31.0,MASCULINO,SUPERIOR
2019-07-06 14:40:00,BOGOTÁ D.C.,TECHO E-8,URBANA,34.0,MASCULINO,TECNICO
2019-07-06 07:40:00,BOGOTÁ D.C.,GRAN BRITALIA E-7,URBANA,34.0,FEMENINO,SUPERIOR
2019-07-06 07:25:00,SOACHA,JUAN PABLO I,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-07 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,68.0,MASCULINO,SUPERIOR
2019-07-07 21:30:00,BOGOTÁ D.C.,EL EJIDO E-16,URBANA,35.0,FEMENINO,SUPERIOR
2019-07-07 19:00:00,BOGOTÁ D.C.,SAN CIPRIANO E-11,URBANA,24.0,MASCULINO,SUPERIOR
2019-07-07 02:00:00,BOGOTÁ D.C.,PARIS GAITAN E-10,URBANA,34.0,MASCULINO,SUPERIOR
2019-07-07 05:00:00,BOGOTÁ D.C.,BOSA CARBONELL I E-7,URBANA,42.0,MASCULINO,SUPERIOR
2019-07-07 12:00:00,BOGOTÁ D.C.,BOSA LINDA E-7,URBANA,69.0,MASCULINO,PRIMARIA
2019-07-07 18:30:00,BOGOTÁ D.C.,HAYUELOS I ETAPA E-9,URBANA,58.0,MASCULINO,TECNOLOGO
2019-07-07 10:30:00,BOGOTÁ D.C.,SAN FRANCISCO E-19,URBANA,30.0,MASCULINO,TECNOLOGO
2019-07-07 08:30:00,BOGOTÁ D.C.,LA CASTELLANA SECTOR NORTE E-12,URBANA,41.0,MASCULINO,TECNICO
2019-07-07 21:45:00,BOGOTÁ D.C.,SAN FELIPE E-12,URBANA,41.0,FEMENINO,SUPERIOR
2019-07-07 22:10:00,BOGOTÁ D.C.,CASTILLA E-8,URBANA,54.0,MASCULINO,TECNICO
2019-07-07 13:10:00,BOGOTÁ D.C.,SAN JOSE E-14,URBANA,36.0,FEMENINO,SECUNDARIA
2019-07-07 14:50:00,BOGOTÁ D.C.,JORGE GAITAN CORTES E-16,URBANA,58.0,FEMENINO,SECUNDARIA
2019-07-07 09:36:00,BOGOTÁ D.C.,VILLAS DE GRANADA E-10,URBANA,30.0,FEMENINO,SUPERIOR
2019-07-07 15:26:00,BOGOTÁ D.C.,EL REMANSO E-16,URBANA,30.0,MASCULINO,SUPERIOR
2019-07-08 14:00:00,BOGOTÁ D.C.,EL CENTENARIO E-18,URBANA,81.0,MASCULINO,SUPERIOR
2019-07-08 22:30:00,BOGOTÁ D.C.,EL TINTAL E-8,URBANA,31.0,FEMENINO,SUPERIOR
2019-07-08 02:30:00,BOGOTÁ D.C.,CATALINA E-8,URBANA,31.0,MASCULINO,TECNOLOGO
2019-07-08 20:20:00,BOGOTÁ D.C.,MUZU E-16,URBANA,31.0,MASCULINO,TECNICO
2019-07-08 21:50:00,BOGOTÁ D.C.,EL JAZMIN I SECTOR E-16,URBANA,45.0,MASCULINO,TECNICO
2019-07-08 21:10:00,BOGOTÁ D.C.,BAVARIA E-8,URBANA,32.0,MASCULINO,SUPERIOR
2019-07-08 20:45:00,BOGOTÁ D.C.,SANTA MONICA E-10,URBANA,40.0,MASCULINO,SECUNDARIA
2019-07-08 23:58:00,BOGOTÁ D.C.,LOS SAUCES E-16,URBANA,37.0,MASCULINO,SECUNDARIA
2019-07-09 00:00:00,BOGOTÁ D.C.,RIONEGRO E-12,URBANA,,MASCULINO,NO REPORTADO
2019-07-09 10:00:00,BOGOTÁ D.C.,SUBA CENTRO E-11,URBANA,44.0,MASCULINO,SECUNDARIA
2019-07-09 21:30:00,BOGOTÁ D.C.,CIUDAD KENNEDY CENTRAL E-8,URBANA,55.0,MASCULINO,TECNOLOGO
2019-07-09 19:00:00,BOGOTÁ D.C.,CASTILLA E-8,URBANA,36.0,FEMENINO,SUPERIOR
2019-07-09 20:30:00,BOGOTÁ D.C.,QUIRIGUA I E-10,URBANA,48.0,MASCULINO,SECUNDARIA
2019-07-09 19:30:00,BOGOTÁ D.C.,CIUDAD MONTES E-16,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-09 20:15:00,BOGOTÁ D.C.,VEINTE DE JULIO E-4,URBANA,48.0,MASCULINO,SECUNDARIA
2019-07-09 20:10:00,BOGOTÁ D.C.,PORTAL DE LOS HAYUELOS E-9,URBANA,43.0,MASCULINO,SUPERIOR
2019-07-09 20:25:00,BOGOTÁ D.C.,PABLO SEXTO E-7,URBANA,38.0,MASCULINO,SECUNDARIA
2019-07-09 22:25:00,BOGOTÁ D.C.,CEDRITOS E-1,URBANA,60.0,MASCULINO,SUPERIOR
2019-07-09 01:45:00,SIBATÉ,PABLO NERUDA,URBANA,66.0,MASCULINO,PRIMARIA
2019-07-09 23:00:00,SOACHA,HOGARES DE SOACHA,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-09 17:35:00,SOACHA,SAN LUIS,URBANA,40.0,MASCULINO,SECUNDARIA
2019-07-10 22:30:00,BOGOTÁ D.C.,MANDALAY I ETAPA E-8,URBANA,33.0,MASCULINO,SUPERIOR
2019-07-10 02:00:00,BOGOTÁ D.C.,SAN RAFAEL SUR ORIENTAL E-4,URBANA,21.0,MASCULINO,SECUNDARIA
2019-07-10 16:00:00,BOGOTÁ D.C.,METROPOLIS E-10,URBANA,50.0,MASCULINO,SUPERIOR
2019-07-10 11:00:00,BOGOTÁ D.C.,OLAYA E-18,URBANA,48.0,MASCULINO,SECUNDARIA
2019-07-10 07:30:00,BOGOTÁ D.C.,TINTAL E-8,URBANA,47.0,MASCULINO,SUPERIOR
2019-07-10 00:52:00,BOGOTÁ D.C.,HORIZONTE OCCIDENTE E-8,URBANA,33.0,MASCULINO,SECUNDARIA
2019-07-10 22:19:00,BOGOTÁ D.C.,EL RINCON DE SUBA E-11,URBANA,44.0,FEMENINO,SUPERIOR
2019-07-10 02:00:00,FUNZA,PROVIVIENDA,URBANA,38.0,MASCULINO,SUPERIOR
2019-07-11 21:00:00,BOGOTÁ D.C.,AUTOPISTA MEDELLIN E-10,URBANA,56.0,MASCULINO,SUPERIOR
2019-07-11 21:00:00,BOGOTÁ D.C.,LA ESPAÑOLA E-10,URBANA,56.0,MASCULINO,SUPERIOR
2019-07-11 21:00:00,BOGOTÁ D.C.,LOS URAPANES E-8,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-11 21:30:00,BOGOTÁ D.C.,ALCAZARES NORTE E-12,URBANA,38.0,MASCULINO,SECUNDARIA
2019-07-11 22:30:00,BOGOTÁ D.C.,FLORESTA SUR E-8,URBANA,30.0,FEMENINO,SUPERIOR
2019-07-11 22:30:00,BOGOTÁ D.C.,LA FELICIDAD E-9,URBANA,31.0,MASCULINO,SUPERIOR
2019-07-11 20:30:00,BOGOTÁ D.C.,SANTA ISABEL E-14,URBANA,56.0,MASCULINO,SECUNDARIA
2019-07-11 18:00:00,BOGOTÁ D.C.,PARDO RUBIO E-2,URBANA,39.0,MASCULINO,SUPERIOR
2019-07-11 07:00:00,BOGOTÁ D.C.,LA LIBERTAD I E-7,URBANA,,MASCULINO,PRIMARIA
2019-07-11 21:40:00,BOGOTÁ D.C.,BARRANCAS ALTO E-1,URBANA,27.0,MASCULINO,SUPERIOR
2019-07-11 22:45:00,BOGOTÁ D.C.,LA FELICIDAD E-9,URBANA,31.0,MASCULINO,SUPERIOR
2019-07-11 00:05:00,BOGOTÁ D.C.,LA SUREÑA E-2,URBANA,25.0,FEMENINO,PRIMARIA
2019-07-11 17:15:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,42.0,MASCULINO,SECUNDARIA
2019-07-11 14:55:00,BOGOTÁ D.C.,SAN GABRIEL E-16,URBANA,44.0,MASCULINO,SUPERIOR
2019-07-11 11:00:00,FACATATIVÁ,LOS LLANITOS,URBANA,48.0,MASCULINO,SUPERIOR
2019-07-11 02:04:00,MADRID,ALCAPARRO,URBANA,42.0,FEMENINO,SECUNDARIA
2019-07-11 00:00:00,PACHO,VER. CARBON,RURAL,39.0,FEMENINO,SECUNDARIA
2019-07-11 00:00:00,VIOTÁ,GAITAN,URBANA,29.0,FEMENINO,SUPERIOR
2019-07-12 22:00:00,BOGOTÁ D.C.,VILLA LUZ E-10,URBANA,42.0,MASCULINO,SUPERIOR
2019-07-12 23:00:00,BOGOTÁ D.C.,CASTILLA E-8,URBANA,40.0,MASCULINO,SECUNDARIA
2019-07-12 23:00:00,BOGOTÁ D.C.,SAN VICENTE FERRER E-6,URBANA,27.0,MASCULINO,SECUNDARIA
2019-07-12 18:00:00,BOGOTÁ D.C.,CANTALEJO E-11,URBANA,35.0,FEMENINO,SUPERIOR
2019-07-12 18:00:00,BOGOTÁ D.C.,SAN DIEGO E-3,URBANA,43.0,MASCULINO,TECNOLOGO
2019-07-12 02:30:00,BOGOTÁ D.C.,GALAN E-16,URBANA,59.0,MASCULINO,SECUNDARIA
2019-07-12 12:30:00,BOGOTÁ D.C.,CIUDAD SALITRE E-9,URBANA,47.0,MASCULINO,PRIMARIA
2019-07-12 20:20:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,42.0,MASCULINO,SUPERIOR
2019-07-12 20:20:00,BOGOTÁ D.C.,SANTA MATILDE E-16,URBANA,42.0,MASCULINO,SUPERIOR
2019-07-12 20:20:00,BOGOTÁ D.C.,SANTA MATILDE E-16,URBANA,42.0,MASCULINO,SUPERIOR
2019-07-12 23:40:00,BOGOTÁ D.C.,SAN BENITO E-6,URBANA,56.0,MASCULINO,SECUNDARIA
2019-07-12 13:45:00,BOGOTÁ D.C.,LA ESTANZUELA CENTRAL E-14,URBANA,56.0,MASCULINO,PRIMARIA
2019-07-12 21:05:00,BOGOTÁ D.C.,NUEVA MARSELLA I SECTOR E-8,URBANA,27.0,MASCULINO,SUPERIOR
2019-07-12 05:15:00,BOGOTÁ D.C.,SAN FRANCISCO E-19,URBANA,33.0,MASCULINO,SUPERIOR
