date,municipality,nighborhood,zone,age,sex,schooling
2019-07-19,BOGOTÁ D.C.,SAN MIGUEL E-4,URBANA,32.0,MASCULINO,SECUNDARIA
2019-07-19,BOGOTÁ D.C.,CIUDAD KENNEDY CENTRAL E-8,URBANA,39.0,MASCULINO,NO REPORTADO
2019-07-20,BOGOTÁ D.C.,BELLO HORIZONTE E-4,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-20,BOGOTÁ D.C.,CIUDADELA EL RECREO E-7,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-20,MADRID,SOSIEGO,URBANA,24.0,MASCULINO,SUPERIOR
2019-07-21,BOGOTÁ D.C.,LAS ACACIAS E-19,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-21,BOGOTÁ D.C.,ISLANDIA E-7,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-21,BOGOTÁ D.C.,EL CORZO E-7,URBANA,26.0,MASCULINO,PRIMARIA
2019-07-21,BOGOTÁ D.C.,SANTA BARBARA E-7,URBANA,34.0,MASCULINO,SECUNDARIA
2019-07-22,BOGOTÁ D.C.,GRAN YOMASA E-5,URBANA,23.0,MASCULINO,SECUNDARIA
2019-07-22,BOGOTÁ D.C.,CAMELIA SUR E-16,URBANA,51.0,MASCULINO,SECUNDARIA
2019-07-23,BOGOTÁ D.C.,FONTIBON E-9,URBANA,49.0,MASCULINO,SECUNDARIA
2019-07-23,BOGOTÁ D.C.,POLO CLUB E-12,URBANA,32.0,MASCULINO,SECUNDARIA
2019-07-23,BOGOTÁ D.C.,GORGONZOLA E-16,URBANA,29.0,MASCULINO,SECUNDARIA
2019-07-23,VERGARA,VER. CERINZA,RURAL,67.0,MASCULINO,PRIMARIA
2019-07-24,BOGOTÁ D.C.,EL PESEBRE E-18,URBANA,33.0,MASCULINO,SECUNDARIA
2019-07-24,BOGOTÁ D.C.,ISLANDIA E-7,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-25,BOGOTÁ D.C.,JUAN JOSE RONDON E-19,URBANA,17.0,MASCULINO,SECUNDARIA
2019-07-25,BOGOTÁ D.C.,QUIBA E-19,RURAL,20.0,FEMENINO,SECUNDARIA
2019-07-25,BOGOTÁ D.C.,SANTA ANA E-4,URBANA,29.0,MASCULINO,PRIMARIA
2019-07-25,BOGOTÁ D.C.,CIUDAD KENNEDY CENTRAL E-8,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-27,BOGOTÁ D.C.,LAS ACACIAS E-19,URBANA,37.0,MASCULINO,SECUNDARIA
2019-07-27,BOGOTÁ D.C.,CHAPINERO CENTRAL E-2,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-27,BOGOTÁ D.C.,FATIMA E-6,URBANA,34.0,MASCULINO,SECUNDARIA
2019-07-27,BOGOTÁ D.C.,LA BELLEZA E-4,URBANA,45.0,FEMENINO,PRIMARIA
2019-07-27,SOACHA,QUINTAS DE LA LAGUNA,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,LA GAITANA E-11,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,SOCIEGO E-4,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,LOS ALPES E-19,URBANA,32.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,VILLA HERMOSA E-11,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,OCHO DE DICIEMBRE E-19,URBANA,27.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,LA MERCED SUR E-18,URBANA,16.0,MASCULINO,SECUNDARIA
2019-07-28,BOGOTÁ D.C.,EL CODITO E-1,URBANA,46.0,MASCULINO,SECUNDARIA
2019-07-28,SOACHA,CAZUCA,URBANA,54.0,MASCULINO,SECUNDARIA
2019-07-28,SOACHA,COMPARTIR,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-29,BOGOTÁ D.C.,CAMPO HERMOSO E-8,URBANA,16.0,MASCULINO,SECUNDARIA
2019-07-29,BOGOTÁ D.C.,LA PAZ E-18,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-29,BOGOTÁ D.C.,IBERIA E-11,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-30,BOGOTÁ D.C.,CANADA SECTOR LA GUIRA E-4,URBANA,29.0,MASCULINO,SECUNDARIA
2019-07-30,BOGOTÁ D.C.,ALFONSO LOPEZ SECTOR CHARALA E-5,URBANA,38.0,MASCULINO,SECUNDARIA
2019-07-30,BOGOTÁ D.C.,ALTO DE LA CRUZ E-19,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-30,FUSAGASUGÁ,VER. LA PUERTA,RURAL,59.0,MASCULINO,PRIMARIA
2019-07-31,BOGOTÁ D.C.,SAN BERNARDINO E-7,URBANA,19.0,MASCULINO,SECUNDARIA
2019-07-31,GUADUAS,DIANA TURBAY,URBANA,39.0,MASCULINO,PRIMARIA
2019-08-01,BOGOTÁ D.C.,LAS NIEVES E-3,URBANA,45.0,MASCULINO,SUPERIOR
2019-08-01,SOACHA,CENTRO,URBANA,31.0,MASCULINO,PRIMARIA
2019-08-02,BOGOTÁ D.C.,SAN BERNARDINO E-7,URBANA,18.0,MASCULINO,SECUNDARIA
2019-08-02,BOGOTÁ D.C.,BELLA FLOR SUR E-19,URBANA,24.0,MASCULINO,SECUNDARIA
2019-08-02,BOGOTÁ D.C.,ANTONIA SANTOS E-7,URBANA,50.0,FEMENINO,SECUNDARIA
2019-08-02,BOGOTÁ D.C.,SAN RAFAEL SUR E-19,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-02,CHOCONTÁ,CENTRO,URBANA,36.0,MASCULINO,SECUNDARIA
2019-08-03,BOGOTÁ D.C.,MARIA CANO E-19,URBANA,48.0,FEMENINO,SECUNDARIA
2019-08-03,BOGOTÁ D.C.,SAN BERNARDO E-3,URBANA,32.0,MASCULINO,SECUNDARIA
2019-08-03,BOGOTÁ D.C.,EL RESTREPO E-15,URBANA,34.0,MASCULINO,SECUNDARIA
2019-08-04,BOGOTÁ D.C.,EL MINUTO DE MARIA E-19,URBANA,21.0,MASCULINO,SECUNDARIA
2019-08-04,BOGOTÁ D.C.,BELLAVISTA E-8,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-04,BOGOTÁ D.C.,PIAMONTE E-7,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-04,BOGOTÁ D.C.,SIBERIA CENTRAL E-2,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-04,FACATATIVÁ,LOS MONARCAS,URBANA,37.0,MASCULINO,SECUNDARIA
2019-08-04,GIRARDOT,LAS ROSAS,URBANA,26.0,MASCULINO,SECUNDARIA
2019-08-04,VILLA DE SAN DIEGO DE UBATE,CENTRO,URBANA,28.0,MASCULINO,PRIMARIA
2019-08-05,BOGOTÁ D.C.,MACARENA LOS ALPES E-4,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-06,BOGOTÁ D.C.,URB. NUEVA ZELANDIA E-11,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-06,BOGOTÁ D.C.,URB. NUEVA ZELANDIA E-11,URBANA,40.0,FEMENINO,SECUNDARIA
2019-08-06,GIRARDOT,VALLE DEL SOL,URBANA,24.0,MASCULINO,PRIMARIA
2019-08-07,BOGOTÁ D.C.,LIBERTADORES E-4,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-07,BOGOTÁ D.C.,BELLAVISTA SUR ORIENTAL E-4,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-07,BOGOTÁ D.C.,ANTONIO JOSE DE SUCRE E-5,URBANA,24.0,MASCULINO,SECUNDARIA
2019-08-07,BOGOTÁ D.C.,GALAN RURAL E-8,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-08,BOGOTÁ D.C.,AURES I E-11,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-08,BOGOTÁ D.C.,ARBORIZADORA BAJA E-19,URBANA,43.0,MASCULINO,SECUNDARIA
2019-08-09,BOGOTÁ D.C.,DANUBIO II E-5,URBANA,38.0,MASCULINO,SECUNDARIA
2019-08-09,BOGOTÁ D.C.,SANTA LUCIA E-18,URBANA,60.0,MASCULINO,SECUNDARIA
2019-08-09,BOGOTÁ D.C.,GRAN YOMASA E-5,URBANA,39.0,MASCULINO,SECUNDARIA
2019-08-10,BOGOTÁ D.C.,LA PRADERA E-19,URBANA,33.0,MASCULINO,SECUNDARIA
2019-08-10,BOGOTÁ D.C.,EL JAZMIN RURAL E-8,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-10,BOGOTÁ D.C.,SAN JORGE E-18,URBANA,21.0,MASCULINO,SECUNDARIA
2019-08-10,FUSAGASUGÁ,BALMORAL,URBANA,22.0,MASCULINO,SECUNDARIA
2019-08-10,FUSAGASUGÁ,BALMORAL,URBANA,29.0,FEMENINO,TECNICO
2019-08-10,MOSQUERA,PORVENIR,URBANA,20.0,MASCULINO,SECUNDARIA
2019-08-11,BOGOTÁ D.C.,BRASILIA SUR E-5,URBANA,35.0,FEMENINO,SECUNDARIA
2019-08-11,BOGOTÁ D.C.,SANTA LUCIA E-18,URBANA,37.0,MASCULINO,SECUNDARIA
2019-08-11,BOGOTÁ D.C.,CHICO NORTE II E-2,URBANA,42.0,MASCULINO,SECUNDARIA
2019-08-11,BOGOTÁ D.C.,ISLANDIA E-7,URBANA,55.0,MASCULINO,SECUNDARIA
2019-08-11,BOGOTÁ D.C.,SUBA URBANO E-11,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-11,BOGOTÁ D.C.,VILLA GLORIA E-19,URBANA,60.0,MASCULINO,SECUNDARIA
2019-08-11,MADRID,SAN PEDRO,URBANA,18.0,MASCULINO,SECUNDARIA
2019-08-11,MEDINA,CENTRO,URBANA,41.0,FEMENINO,SECUNDARIA
2019-08-11,VILLA DE SAN DIEGO DE UBATE,CENTRO,URBANA,28.0,MASCULINO,SECUNDARIA
2019-08-12,BOGOTÁ D.C.,DANUBIO II E-5,URBANA,17.0,MASCULINO,SECUNDARIA
2019-08-12,BOGOTÁ D.C.,CIUDAD GRANADA E-8,URBANA,24.0,MASCULINO,SECUNDARIA
2019-08-12,BOGOTÁ D.C.,EL CODITO E-1,URBANA,35.0,MASCULINO,SECUNDARIA
2019-08-12,FUSAGASUGÁ,VER.EL CARMEN,RURAL,46.0,MASCULINO,PRIMARIA
